track_id,cover_downloaded,preview_downloaded
1Y2583xYzwiEXDetAB7H1Q,true,true
2AcKLW30dJ03qXsGU3RehH,true,true
3u6PxWema1snbjLbFEyjkJ,true,true
3jRZg6U0m9Ir115Wt66ebU,true,true
7fODjB7BrQTGqh0hogW6XD,true,true
0T0vseuNB4KC8opkrCLNbc,true,true
0oWraSo5ASJ0h1BEagTyEw,true,true
3ncmoWTwJgx63LwMTyBCXf,true,true
7w87IxuO7BDcJ3YUqCyMTT,true,true
1WkMMavIMc4JZ8cfMmxHkI,true,true
0a2cA9H6KuOsoHLCnjl6YL,true,true
7LaI3mRTJu66r9HKdv7iBx,true,true
4FYWOYqOF9lbb1JcZFDT67,true,true
3oUphdZVPyrsprZ8FgbmQS,true,true
3eX0NZfLtGzoLUxPNvRfqm,true,true
2niUiaoJDCzNldW0pV66zb,true,true
4DpNNXFMMxQEKl7r0ykkWA,true,true
1VauUM5CBX7nkLcgafQL2B,true,true
7jYwZOptDPesQgzj7vhsEF,true,true
71V6u8mPSydvEokO7XYqG6,true,true
63irPUP3xB74fHdw1Aw9zR,true,true
5WoaF1B5XIEnWfmb5NZikf,true,true
6ICVAdLNgkyd0k30kVDkFi,true,true
1QxcWlk8PivolUaWcpAoNq,true,true
4d7N2lqEJMbQwVy1LCqhXv,true,true
6IPwKM3fUUzlElbvKw2sKl,true,true
6XkuklKiHYVTlVvWlTgQYP,true,true
6Se3x9ANMLv0dCDsjGmEjh,true,true
6VIYEyjNW71NnIGEduf8D8,true,true
2x9UGhofPBZdeam4uZCUID,true,true
4ZLzoOkj0MPWrTLvooIuaa,true,true
7fQYRdNX6y8BpfmHvWVPm8,true,true
2rurDawMfoKP4uHyb2kJBt,true,true
4sFGNz4MYpGoz53ZGCwsiE,true,true
5jW3rF4URMdK7tO2xjS5EI,true,true
3EGW6TGGbdk6Ys1Y3HU3lj,true,true
2QsZVnbWVSjKMXK6K3uRBL,true,true
5GpYt1p4z2EPVKv5t7XDof,true,true
4wVOKKEHUJxHCFFNUWDn0B,true,true
5bbDOmtSTUeAmzYDUv8eVF,true,true
3LBBSmoGHWC91u754Tp21C,true,true
0oeVHAgY8Q7Mdce5Quj2G4,true,true
6bNB5gxFX6Q87DbQWb8OWZ,true,true
25KybV9BOUlvcnv7nN3Pyo,true,true
08v6GcxD4gF8aZ1yuPry0A,true,true
3m7IYU7ySuFMwdm7OCShQN,true,true
5DS9LiyEdw2zY8bM6kjjgM,true,true
0mMqopQJOWADJSPRMYkvTF,true,true
0HaRLPnr887lcQM2YQzkff,true,true
1Wcr8zrKqbUX0zwN8Dbr16,true,true
4RGWHfQeJftd5XrP8JUgFj,true,true
7qKXSF8MilgyiL52oq1AA0,true,true
0b6wdul3A5sQNpIOv03OxP,true,true
